timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,failureMessage,bytes,sentBytes,URL,Latency,IdleTime,Connect
1689500584944,220,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,219,0,1
1689500584944,220,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,220,0,1
1689500584945,219,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,219,0,1
1689500584947,218,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,218,0,0
1689500584948,217,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,217,0,1
1689500584945,220,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,220,0,1
1689500584948,218,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,218,0,1
1689500584943,230,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,230,0,1
1689500585070,449,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,449,0,0
1689500585131,388,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,388,0,1
1689500585064,455,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,455,0,1
1689500585092,427,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,427,0,1
1689500585087,432,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,432,0,1
1689500585134,386,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,386,0,1
1689500585142,378,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,378,0,1
1689500585045,475,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,475,0,1
1689500585035,485,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,485,0,1
1689500585084,436,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,436,0,1
1689500585039,481,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,481,0,1
1689500585136,384,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,384,0,1
1689500585072,448,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,448,0,1
1689500585081,439,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,439,0,1
1689500585095,425,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,425,0,1
1689500585107,413,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,413,0,1
1689500585061,459,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,459,0,1
1689500585118,402,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,402,0,0
1689500585085,436,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,436,0,1
1689500585145,376,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,376,0,1
1689500585117,404,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,404,0,1
1689500585105,416,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,416,0,1
1689500585071,450,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,450,0,22
1689500585083,438,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,438,0,1
1689500585147,374,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,374,0,0
1689500585076,445,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,445,0,0
1689500585091,430,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,430,0,0
1689500585129,392,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,392,0,1
1689500585102,419,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,419,0,1
1689500585062,459,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,459,0,1
1689500585147,374,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,374,0,1
1689500585111,410,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,410,0,1
1689500585108,413,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,413,0,2
1689500585063,458,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,458,0,1
1689500585041,480,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,480,0,1
1689500585142,379,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,379,0,1
1689500585098,424,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,424,0,2
1689500585066,456,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,456,0,1
1689500585114,408,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,408,0,1
1689500585078,444,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,444,0,0
1689500585117,405,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,405,0,0
1689500585045,477,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,477,0,1
1689500585033,489,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,489,0,1
1689500585107,415,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,415,0,1
1689500585094,428,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,428,0,1
1689500585048,474,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,474,0,1
1689500585144,378,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,378,0,1
1689500585087,435,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,435,0,1
1689500585124,398,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,398,0,2
1689500585089,433,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,433,0,1
1689500585129,393,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,393,0,2
1689500585059,463,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,463,0,1
1689500585144,378,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,378,0,0
1689500585105,417,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,417,0,1
1689500585120,403,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,403,0,1
1689500585068,455,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,455,0,1
1689500585080,443,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,443,0,1
1689500585145,378,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,378,0,1
1689500585077,446,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,446,0,1
1689500585127,396,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,396,0,1
1689500585074,449,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,449,0,1
1689500585010,513,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,513,0,1
1689500584935,588,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,588,0,42
1689500584933,590,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,590,0,46
1689500584977,546,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,546,0,1
1689500584933,590,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,590,0,45
1689500584979,544,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,544,0,1
1689500584979,544,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,544,0,1
1689500584933,590,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,590,0,45
1689500584934,589,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,589,0,44
1689500584947,576,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,576,0,0
1689500584935,588,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,588,0,42
1689500584935,589,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,589,0,41
1689500584970,554,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,554,0,0
1689500585082,442,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,442,0,1
1689500584945,579,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,579,0,1
1689500584939,585,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,585,0,1
1689500585121,403,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,403,0,1
1689500585141,383,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,383,0,0
1689500585107,417,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,417,0,1
1689500584945,579,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,579,0,2
1689500584941,583,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,583,0,0
1689500584939,585,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,585,0,1
1689500585037,487,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,487,0,1
1689500585116,408,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,408,0,1
1689500585140,384,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,384,0,1
1689500585119,405,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,405,0,1
1689500585146,378,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,378,0,1
1689500585098,427,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,427,0,1
1689500585047,478,HTTP Request,200,,text,true,,176,123,http://localhost:8080/test,478,0,0
