timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,failureMessage,bytes,sentBytes,URL,Latency,IdleTime,Connect
1689517756729,1176,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1175,0,274
1689517756830,1146,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1146,0,270
1689517756838,1138,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1138,0,262
1689517756831,1147,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1147,0,269
1689517756839,1139,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1139,0,261
1689517756837,1142,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1142,0,263
1689517756810,1169,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1169,0,290
1689517756836,1144,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1144,0,264
1689517756826,1154,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1154,0,274
1689517756843,1138,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1138,0,258
1689517756847,1134,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1134,0,253
1689517756829,1152,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1152,0,271
1689517756849,1134,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1134,0,251
1689517756834,1150,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1150,0,266
1689517756757,1229,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1229,0,270
1689517756767,1219,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1219,0,260
1689517756744,1243,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1243,0,283
1689517756772,1215,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1215,0,257
1689517756753,1235,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1235,0,273
1689517756765,1223,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1223,0,262
1689517756761,1228,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1228,0,266
1689517756745,1244,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1244,0,281
1689517756751,1239,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1239,0,274
1689517756747,1244,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1244,0,280
1689517756774,1217,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1217,0,253
1689517756755,1236,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1236,0,271
1689517756751,1243,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1243,0,275
1689517756766,1229,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1229,0,260
1689517756767,1228,HTTP Request,200,OK,text,true,,74,128,http://44.202.241.239:8080/test,1228,0,259
